Participant_ID,trialN,blockN,moveCount,movesTrial,reward,RT,time_out,sequence_ID
1,16.0,11.0,4.0,"[0, 1, 1, 1]",56.0,4665.779999999795,0,5.0
1,17.0,11.0,3.0,"1,1,2",0.0,5816.660000000615,1,
1,18.0,11.0,4.0,"[2, 1, 1, 1]",60.0,5341.319999999832,0,30.0
1,19.0,11.0,4.0,"[0, 0, 1, 1]",26.0,4926.800000000279,0,0.0
1,0.0,12.0,4.0,"[0, 1, 1, 0]",96.0,1186.619999999646,0,4.0
1,1.0,12.0,4.0,"[0, 1, 1, 0]",98.0,864.3199999998324,0,4.0
1,2.0,12.0,4.0,"[0, 1, 1, 0]",88.0,657.4200000003912,0,4.0
1,3.0,12.0,4.0,"[0, 1, 1, 0]",80.0,3887.600000000093,0,4.0
1,4.0,12.0,4.0,"[0, 1, 1, 0]",76.0,1126.2599999997765,0,4.0
1,5.0,12.0,4.0,"[0, 1, 1, 0]",106.0,1218.2600000002421,0,4.0
1,6.0,12.0,4.0,"[0, 1, 1, 0]",100.0,1073.0400000000373,0,4.0
1,7.0,12.0,4.0,"[0, 1, 1, 0]",92.0,899.5200000000186,0,4.0
1,8.0,12.0,4.0,"[0, 1, 1, 0]",92.0,832.7800000002608,0,4.0
1,9.0,12.0,4.0,"[0, 1, 1, 0]",90.0,1311.3799999998882,0,4.0
1,10.0,12.0,4.0,"[0, 1, 1, 0]",94.0,1006.3999999999069,0,4.0
1,11.0,12.0,4.0,"[0, 1, 1, 0]",76.0,1371.339999999851,0,4.0
1,12.0,12.0,4.0,"[0, 1, 1, 0]",112.0,1156.7600000002421,0,4.0
1,13.0,12.0,4.0,"[0, 1, 1, 0]",98.0,1071.4799999999814,0,4.0
1,14.0,12.0,4.0,"[0, 1, 1, 0]",94.0,917.3199999998324,0,4.0
1,15.0,12.0,4.0,"[0, 1, 1, 0]",98.0,1157.279999999795,0,4.0
1,16.0,12.0,4.0,"[0, 1, 1, 0]",84.0,1663.4799999999814,0,4.0
1,17.0,12.0,4.0,"[0, 1, 1, 0]",82.0,1472.8600000003353,0,4.0
1,18.0,12.0,4.0,"[0, 1, 1, 0]",88.0,888.6000000000931,0,4.0
1,19.0,12.0,4.0,"[0, 1, 1, 0]",116.0,917.3000000002794,0,4.0
1,0.0,13.0,4.0,"[0, 1, 1, 0]",96.0,970.0200000004843,0,4.0
1,1.0,13.0,4.0,"[0, 1, 1, 0]",96.0,826.0600000000559,0,4.0
1,2.0,13.0,4.0,"[0, 1, 1, 0]",96.0,826.3999999999069,0,4.0
1,3.0,13.0,4.0,"[0, 1, 1, 0]",118.0,871.5399999995716,0,4.0
1,4.0,13.0,4.0,"[0, 1, 1, 0]",98.0,1040.5,0,4.0
1,5.0,13.0,4.0,"[0, 1, 1, 0]",80.0,1112.4799999995157,0,4.0
1,6.0,13.0,4.0,"[0, 1, 1, 0]",78.0,981.0600000000559,0,4.0
1,7.0,13.0,4.0,"[0, 1, 1, 0]",66.0,830.019999999553,0,4.0
1,8.0,13.0,4.0,"[0, 1, 1, 0]",50.0,1199.8199999998324,0,4.0
1,9.0,13.0,4.0,"[1, 1, 2, 2]",70.0,4218.100000000093,0,19.0
1,10.0,13.0,4.0,"[1, 1, 0, 0]",0.0,2244.679999999702,0,16.0
1,11.0,13.0,4.0,"[1, 1, 2, 2]",74.0,989.5,0,19.0
1,12.0,13.0,4.0,"[1, 1, 2, 2]",84.0,856.9399999999441,0,19.0
1,13.0,13.0,4.0,"[1, 1, 2, 2]",84.0,1147.6599999996834,0,19.0
1,14.0,13.0,4.0,"[1, 1, 2, 2]",80.0,1198.1400000001304,0,19.0
1,15.0,13.0,4.0,"[1, 1, 2, 2]",84.0,1118.3799999998882,0,19.0
1,16.0,13.0,4.0,"[1, 1, 2, 2]",72.0,942.2199999997392,0,19.0
1,17.0,13.0,4.0,"[1, 1, 2, 2]",68.0,878.660000000149,0,19.0
